Thu Aug 25 17:28:05 2022    profile_results

         13102939 function calls (12983435 primitive calls) in 117.068 seconds

   Ordered by: cumulative time
   List reduced from 6006 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    682/1    0.025    0.000  122.215  122.215 {built-in method builtins.exec}
        1    0.013    0.013  122.215  122.215 /mnt/WD_Black/Aggarwal_postdoc/pymecht/biax-fitting.py:15(main)
       50    0.004    0.000   80.432    1.609 /mnt/WD_Black/Aggarwal_postdoc/pymecht/SampleExperiment.py:19(disp_controlled)
        2    0.001    0.000   77.836   38.918 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/scipy/optimize/_lsq/least_squares.py:240(least_squares)
       48    0.018    0.000   77.785    1.621 /mnt/WD_Black/Aggarwal_postdoc/pymecht/biax-fitting.py:286(residual)
       50    1.026    0.021   76.034    1.521 /mnt/WD_Black/Aggarwal_postdoc/pymecht/SampleExperiment.py:23(<listcomp>)
    60550    6.196    0.000   74.112    0.001 /mnt/WD_Black/Aggarwal_postdoc/pymecht/MatModel.py:91(stress)
        2    0.000    0.000   63.190   31.595 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/scipy/optimize/_lsq/trf.py:112(trf)
        2    0.004    0.002   63.190   31.595 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/scipy/optimize/_lsq/trf.py:205(trf_bounds)
    60550    3.828    0.000   54.570    0.001 /mnt/WD_Black/Aggarwal_postdoc/pymecht/MatModel.py:249(secondPK)
       14    0.000    0.000   54.547    3.896 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/scipy/optimize/_lsq/least_squares.py:885(jac_wrapped)
       14    0.001    0.000   54.547    3.896 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/scipy/optimize/_numdiff.py:275(approx_derivative)
       14    0.003    0.000   54.539    3.896 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/scipy/optimize/_numdiff.py:566(_dense_difference)
       34    0.001    0.000   54.536    1.604 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/scipy/optimize/_numdiff.py:455(fun_wrapped)
740539/678441    6.528    0.000   28.523    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    60550    0.437    0.000   26.046    0.000 /mnt/WD_Black/Aggarwal_postdoc/pymecht/MatModel.py:205(update)
    60550    2.804    0.000   25.610    0.000 /mnt/WD_Black/Aggarwal_postdoc/pymecht/MatModel.py:194(invariants)
       14    0.000    0.000   23.252    1.661 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/scipy/optimize/_lsq/least_squares.py:814(fun_wrapped)
        1    0.000    0.000   21.284   21.284 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/pandas/util/_decorators.py:302(wrapper)
        1    0.000    0.000   21.284   21.284 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/pandas/io/excel/_base.py:422(read_excel)
    60550    1.175    0.000   19.784    0.000 /mnt/WD_Black/Aggarwal_postdoc/pymecht/MatModel.py:731(partial_deriv)
        1    0.000    0.000   18.954   18.954 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/pandas/io/excel/_base.py:1424(parse)
        1    0.001    0.001   18.954   18.954 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/pandas/io/excel/_base.py:572(parse)
        1    0.072    0.072   18.785   18.785 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/pandas/io/excel/_openpyxl.py:568(get_sheet_data)
    60550    1.184    0.000   18.409    0.000 /mnt/WD_Black/Aggarwal_postdoc/pymecht/MatModel.py:736(<listcomp>)
   242206   12.085    0.000   18.096    0.000 {built-in method builtins.eval}
     3484    0.056    0.000   17.220    0.005 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/openpyxl/worksheet/_read_only.py:58(_cells_by_row)
     3484    0.550    0.000   16.215    0.005 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/openpyxl/worksheet/_reader.py:113(parse)
142893/142890    0.866    0.000   11.906    0.000 /home/ross/anaconda3/envs/pymecht/lib/python3.8/xml/etree/ElementTree.py:1224(iterator)
   181676    1.710    0.000   11.707    0.000 <__array_function__ internals>:177(diag)
      266    0.003    0.000    8.818    0.033 /home/ross/anaconda3/envs/pymecht/lib/python3.8/xml/etree/ElementTree.py:1690(feed)
      325    1.146    0.004    8.815    0.027 {method 'Parse' of 'pyexpat.xmlparser' objects}
      209    0.002    0.000    8.767    0.042 /home/ross/anaconda3/envs/pymecht/lib/python3.8/xml/etree/ElementTree.py:1268(feed)
       12    0.012    0.001    8.585    0.715 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/matplotlib/axes/_base.py:4561(get_tightbbox)
       32    0.004    0.000    8.398    0.262 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/matplotlib/axis.py:1090(get_tightbbox)
    651/9    0.026    0.000    8.290    0.921 <frozen importlib._bootstrap>:986(_find_and_load)
    651/9    0.020    0.000    8.288    0.921 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    628/8    0.020    0.000    8.278    1.035 <frozen importlib._bootstrap>:650(_load_unlocked)
    698/8    0.006    0.000    8.277    1.035 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    627/8    0.012    0.000    8.275    1.034 <frozen importlib._bootstrap_external>:837(exec_module)
   181676    3.392    0.000    8.268    0.000 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/numpy/lib/twodim_base.py:234(diag)
    60550    0.594    0.000    8.208    0.000 <__array_function__ internals>:177(det)
        2    0.000    0.000    7.719    3.860 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/matplotlib/figure.py:3162(tight_layout)
        2    0.000    0.000    7.689    3.845 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/matplotlib/tight_layout.py:251(get_tight_layout_figure)
        2    0.001    0.000    7.685    3.843 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/matplotlib/tight_layout.py:19(_auto_adjust_subplotpars)
      552    0.024    0.000    7.207    0.013 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/matplotlib/text.py:290(_get_layout)
      592    0.038    0.000    7.066    0.012 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/matplotlib/text.py:872(get_window_extent)
      144    0.006    0.000    7.042    0.049 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/matplotlib/backends/backend_agg.py:251(get_text_width_height_descent)
    60550    3.090    0.000    7.042    0.000 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/numpy/linalg/linalg.py:2092(det)
       32    0.000    0.000    6.873    0.215 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/matplotlib/mathtext.py:410(parse)
        1    0.000    0.000    6.872    6.872 /mnt/WD_Black/Aggarwal_postdoc/pymecht/MatModel.py:636(__init__)
       16    0.001    0.000    6.871    0.429 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/matplotlib/mathtext.py:437(_parse_cached)
   121100    1.310    0.000    6.862    0.000 <__array_function__ internals>:177(trace)
   244277    2.488    0.000    6.514    0.000 <__array_function__ internals>:177(dot)
        1    0.001    0.001    5.375    5.375 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/sympy/__init__.py:1(<module>)
       50    0.651    0.013    4.280    0.086 /mnt/WD_Black/Aggarwal_postdoc/pymecht/SampleExperiment.py:231(F)
   121100    1.552    0.000    4.271    0.000 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1687(trace)
188955/188908    1.978    0.000    4.147    0.000 {built-in method builtins.any}
        1    0.004    0.004    4.035    4.035 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/matplotlib/_mathtext.py:1967(__init__)
   145125    1.324    0.000    3.967    0.000 /home/ross/anaconda3/envs/pymecht/lib/python3.8/xml/etree/ElementTree.py:1562(handler)
       13    1.201    0.092    3.904    0.300 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/pyparsing/helpers.py:197(one_of)
    60550    0.726    0.000    3.883    0.000 /mnt/WD_Black/Aggarwal_postdoc/pymecht/MatModel.py:200(<listcomp>)
     3483    0.106    0.000    3.851    0.001 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/openpyxl/worksheet/_reader.py:265(parse_row)
   146257    2.080    0.000    3.685    0.000 /home/ross/anaconda3/envs/pymecht/lib/python3.8/xml/etree/ElementTree.py:1621(_start)
     3483    0.247    0.000    3.660    0.001 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/openpyxl/worksheet/_reader.py:286(<listcomp>)
    60550    0.660    0.000    3.591    0.000 <__array_function__ internals>:177(outer)
        2    0.000    0.000    3.445    1.723 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/matplotlib/pyplot.py:323(show)
        2    0.000    0.000    3.445    1.723 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/matplotlib_inline/backend_inline.py:23(show)
        2    0.000    0.000    3.442    1.721 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/IPython/core/display.py:131(display)
        2    0.000    0.000    3.433    1.716 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/IPython/core/formatters.py:89(format)
       24    0.000    0.000    3.414    0.142 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/decorator.py:229(fun)
    69660    1.587    0.000    3.413    0.000 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/openpyxl/worksheet/_reader.py:177(parse_cell)
       24    0.000    0.000    3.407    0.142 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/IPython/core/formatters.py:220(catch_format_error)
       18    0.000    0.000    3.397    0.189 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/IPython/core/formatters.py:331(__call__)
        2    0.000    0.000    3.380    1.690 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/IPython/core/pylabtools.py:110(print_figure)
        2    0.001    0.000    3.380    1.690 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/matplotlib/backend_bases.py:2192(print_figure)
    60550    0.605    0.000    2.771    0.000 <__array_function__ internals>:177(diagonal)
        1    0.000    0.000    2.330    2.330 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/pandas/io/excel/_base.py:1344(__init__)
        1    0.000    0.000    2.324    2.324 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/pandas/io/excel/_openpyxl.py:509(__init__)
    60550    1.505    0.000    2.292    0.000 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/numpy/core/numeric.py:851(outer)
    60554    0.907    0.000    2.270    0.000 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/numpy/linalg/linalg.py:135(_commonType)
581292/581213    1.933    0.000    2.226    0.000 {built-in method builtins.isinstance}
   146245    1.342    0.000    2.225    0.000 /home/ross/anaconda3/envs/pymecht/lib/python3.8/xml/etree/ElementTree.py:1633(_end)
   143104    1.334    0.000    2.189    0.000 /home/ross/anaconda3/envs/pymecht/lib/python3.8/xml/etree/ElementTree.py:1292(read_events)
      972    0.031    0.000    2.177    0.002 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/matplotlib/font_manager.py:1248(findfont)
        1    0.001    0.001    2.115    2.115 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/sympy/polys/__init__.py:1(<module>)
        2    0.000    0.000    2.066    1.033 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/pandas/compat/_optional.py:75(import_optional_dependency)
        2    0.000    0.000    2.066    1.033 /home/ross/anaconda3/envs/pymecht/lib/python3.8/importlib/__init__.py:109(import_module)
        2    0.000    0.000    2.066    1.033 <frozen importlib._bootstrap>:1002(_gcd_import)
        1    0.000    0.000    2.061    2.061 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/openpyxl/__init__.py:4(<module>)
       25    0.419    0.017    2.010    0.080 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/matplotlib/font_manager.py:1311(_findfont_cached)
628761/625287    1.921    0.000    1.970    0.000 {built-in method builtins.len}
        1    0.000    0.000    1.963    1.963 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/openpyxl/workbook/__init__.py:4(<module>)
        1    0.000    0.000    1.962    1.962 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/openpyxl/workbook/workbook.py:3(<module>)
   121100    1.959    0.000    1.959    0.000 {method 'trace' of 'numpy.ndarray' objects}
        1    0.000    0.000    1.958    1.958 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/sympy/core/__init__.py:1(<module>)
       16    0.002    0.000    1.949    0.122 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/matplotlib/_mathtext.py:572(__init__)
        4    0.000    0.000    1.865    0.466 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/matplotlib/artist.py:71(draw_wrapper)
    720/4    0.018    0.000    1.864    0.466 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/matplotlib/artist.py:32(draw_wrapper)
        4    0.000    0.000    1.864    0.466 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/matplotlib/figure.py:2786(draw)


