Thu Aug 25 17:41:32 2022    profile_results

         27449852 function calls (27188607 primitive calls) in 340.650 seconds

   Ordered by: cumulative time
   List reduced from 6049 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    682/1    0.019    0.000  389.734  389.734 {built-in method builtins.exec}
        1    0.012    0.012  389.733  389.733 /mnt/WD_Black/Aggarwal_postdoc/pymecht/biax-fitting.py:15(main)
      147    0.012    0.000  342.940    2.333 /mnt/WD_Black/Aggarwal_postdoc/pymecht/SampleExperiment.py:19(disp_controlled)
        2    0.001    0.000  339.935  169.967 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/scipy/optimize/_lsq/least_squares.py:240(least_squares)
      145    0.048    0.000  338.612    2.335 /mnt/WD_Black/Aggarwal_postdoc/pymecht/biax-fitting.py:286(residual)
      147    3.494    0.024  328.831    2.237 /mnt/WD_Black/Aggarwal_postdoc/pymecht/SampleExperiment.py:23(<listcomp>)
   178017   20.673    0.000  322.235    0.002 /mnt/WD_Black/Aggarwal_postdoc/pymecht/MatModel.py:91(stress)
        2    0.000    0.000  311.721  155.860 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/scipy/optimize/_lsq/trf.py:112(trf)
        2    0.007    0.004  311.720  155.860 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/scipy/optimize/_lsq/trf.py:205(trf_bounds)
       20    0.000    0.000  286.690   14.335 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/scipy/optimize/_lsq/least_squares.py:885(jac_wrapped)
       20    0.002    0.000  286.690   14.334 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/scipy/optimize/_numdiff.py:275(approx_derivative)
       20    0.011    0.001  286.677   14.334 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/scipy/optimize/_numdiff.py:566(_dense_difference)
      125    0.003    0.000  286.664    2.293 /home/ross/anaconda3/envs/pymecht/lib/python3.8/site-packages/scipy/optimize/_numdiff.py:455(fun_wrapped)
   178017   14.675    0.000  259.943    0.001 /mnt/WD_Black/Aggarwal_postdoc/pymecht/MatModel.py:249(secondPK)
